time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-12-09T12:21:45.760Z,40.3946647644043,-124.918830871582,19.4899997711182,3.02,md,30,273,0.451,0.21,nc,nc75100081,2024-12-09T14:07:18.176Z,"54 km WNW of Petrolia, CA",earthquake,2.67,4.36000013,0.07,15,automatic,nc,nc
2024-12-09T11:52:21.260Z,40.3108329772949,-123.795829772949,6.71999979019165,2.28,md,5,178,0.1394,0.21,nc,nc75100076,2024-12-09T13:47:17.923Z,"21 km NNE of Redway, CA",earthquake,7.25,15.7399998,0.1,7,automatic,nc,nc
2024-12-09T11:15:31.830Z,40.2723350524902,-124.654998779297,11.6000003814697,2.69,md,17,289,0.2395,0.14,nc,nc75100061,2024-12-09T13:32:16.816Z,"32 km W of Petrolia, CA",earthquake,3.11,1.75,0.12,16,automatic,nc,nc
2024-12-09T11:02:00.530Z,40.3655014038086,-124.738334655762,19.2999992370605,3.33,ml,63,237,0.3122,0.2,nc,nc75100056,2024-12-09T18:40:30.728Z,"39 km WNW of Petrolia, CA",earthquake,1.15,0.550000012,0.315,13,automatic,nc,nc
2024-12-09T10:40:34.590Z,40.341667175293,-124.985832214355,4.3600001335144,2.48,md,13,291,0.4947,0.44,nc,nc75100051,2024-12-09T13:07:17.744Z,"59 km WNW of Petrolia, CA",earthquake,14.31,15.3900003,0.17,6,automatic,nc,nc
2024-12-09T08:36:46.420Z,40.3343315124512,-124.56566619873,4.34000015258789,2.44,md,8,315,0.3329,0.06,nc,nc75099991,2024-12-10T08:28:37.040Z,"24 km WNW of Petrolia, CA",earthquake,5.87,3.4000001,,1,automatic,nc,nc
2024-12-09T08:35:49.640Z,40.420166015625,-124.782333374023,11.6499996185303,3.56,ml,57,237,0.344,0.25,nc,nc75099986,2024-12-10T08:18:50.040Z,"43 km WNW of Petrolia, CA",earthquake,2.22,1.37,0.237,8,reviewed,nc,nc
2024-12-09T08:22:31.440Z,40.2939987182617,-124.519165039062,18.8799991607666,3.33,ml,24,268,0.1352,0.06,nc,nc75099971,2024-12-10T07:54:28.040Z,"20 km W of Petrolia, CA",earthquake,1.2,0.25,0.229,6,automatic,nc,nc
2024-12-09T07:58:45.720Z,40.2944984436035,-124.494499206543,18.6100006103516,2.74,md,9,304,0.1164,0.04,nc,nc75099966,2024-12-09T09:42:17.244Z,"18 km W of Petrolia, CA",earthquake,2.31,0.600000024,0.29,3,automatic,nc,nc
2024-12-09T07:55:26.840Z,40.3359985351562,-124.681831359863,20.5599994659424,2.58,md,22,273,0.2637,0.16,nc,nc75099961,2024-12-09T09:27:16.143Z,"34 km WNW of Petrolia, CA",earthquake,2.35,0.74000001,0.1,13,automatic,nc,nc
2024-12-09T07:36:10.060Z,40.4095001220703,-124.691833496094,-0.189999997615814,2.81,md,16,268,0.2784,0.33,nc,nc75099946,2024-12-09T08:47:17.876Z,"36 km WNW of Petrolia, CA",earthquake,9.19,14.1599998,0.11,10,automatic,nc,nc
2024-12-09T07:15:42.290Z,40.3485,-124.917666666667,10,3.95,mw,150,225,0.4438,0.26,nc,nc75099936,2024-12-10T21:07:17.028Z,"54 km WNW of Petrolia, CA",earthquake,0.52,31.61,,5,reviewed,nc,nc
2024-12-09T04:08:07.730Z,39.7929992675781,-123.325668334961,5.86999988555908,1.68,md,8,137,0.1209,0.05,nc,nc75099886,2024-12-09T04:52:17.273Z,"7 km WNW of Covelo, CA",earthquake,0.37,1.45000005,0.1,7,automatic,nc,nc
2024-12-09T03:24:50.230Z,40.2348327636719,-124.804832458496,4.5,2.44,md,7,292,0.3578,0.13,nc,nc75099871,2024-12-09T04:07:17.998Z,"45 km W of Petrolia, CA",earthquake,5.22,7.46999979,0.13,4,automatic,nc,nc
2024-12-09T01:25:22.440Z,40.3296661376953,-124.495162963867,11.9700002670288,2.62,md,10,305,0.1237,0.08,nc,nc75099846,2024-12-09T03:27:17.725Z,"18 km WNW of Petrolia, CA",earthquake,3.5,0.610000014,0.12,6,automatic,nc,nc
2024-12-09T00:47:10.550Z,40.4508333333333,-124.987166666667,0.37,3.48,ml,18,293,0.4963,0.13,nc,nc75099831,2024-12-10T02:26:48.040Z,"61 km WNW of Petrolia, CA",earthquake,4.96,7.55,0.161,52,reviewed,nc,nc
2024-12-08T22:17:03.250Z,40.2911682128906,-124.988670349121,24.5900001525879,2.75,md,12,289,0.4942,0.21,nc,nc75099766,2024-12-09T01:07:16.813Z,"60 km W of Petrolia, CA",earthquake,6.12,15.5200005,0.11,6,automatic,nc,nc
2024-12-08T22:03:31.360Z,40.295166015625,-124.575836181641,10.1899995803833,2.9,md,17,277,0.1785,0.24,nc,nc75099761,2024-12-09T00:47:16.680Z,"25 km W of Petrolia, CA",earthquake,3.65,2.01999998,0.16,18,automatic,nc,nc
2024-12-08T21:07:15.590Z,40.3121681213379,-124.707496643066,8.72999954223633,2.66,md,13,301,0.2801,0.22,nc,nc75099706,2024-12-08T23:22:17.093Z,"36 km W of Petrolia, CA",earthquake,8.08,4.51999998,0.09,9,automatic,nc,nc
2024-12-08T21:03:54.140Z,40.4391670227051,-124.833503723145,1.80999994277954,2.54,md,15,304,0.3978,0.54,nc,nc75099696,2024-12-08T23:07:16.001Z,"48 km WNW of Petrolia, CA",earthquake,21.73,30.3199997,0.24,7,automatic,nc,nc
2024-12-08T18:54:09.390Z,40.2845001220703,-124.552833557129,10.539999961853,2.45,md,12,300,0.1609,0.11,nc,nc75099626,2024-12-08T19:57:16.636Z,"23 km W of Petrolia, CA",earthquake,3.09,1.11000001,0.09,10,automatic,nc,nc
2024-12-08T16:43:26.510Z,40.3141670227051,-124.449165344238,13.5200004577637,2.55,md,11,299,0.08546,0.04,nc,nc75099581,2024-12-08T18:42:15.075Z,"14 km W of Petrolia, CA",earthquake,3.84,0.790000021,0.02,8,automatic,nc,nc
2024-12-08T16:29:52.340Z,40.2891654968262,-124.838996887207,0.25,2.31,md,7,319,0.3797,0.16,nc,nc75099576,2024-12-08T18:27:17.973Z,"47 km W of Petrolia, CA",earthquake,8.87,12.29,0.1,7,automatic,nc,nc
2024-12-08T16:23:14.410Z,40.3720016479492,-124.954170227051,-0.0700000002980232,4.26,mw,130,233,0.4749,0.2,nc,nc75099566,2024-12-09T16:28:47.459Z,"57 km WNW of Petrolia, CA",earthquake,0.66,2.22000003,,24,reviewed,nc,nc
2024-12-08T16:13:04.660Z,40.3698348999023,-124.474334716797,12.4200000762939,1.59,md,6,326,0.1294,0.04,nc,nc75099551,2024-12-08T17:42:14.660Z,"17 km WNW of Petrolia, CA",earthquake,4.01,1.21000004,,1,automatic,nc,nc
2024-12-08T15:58:24.600Z,40.4480018615723,-124.840835571289,8.59000015258789,2.85,md,21,298,0.405,0.23,nc,nc75099541,2024-12-08T17:07:17.425Z,"49 km WNW of Petrolia, CA",earthquake,6.94,4.55999994,0.09,13,automatic,nc,nc
2024-12-08T15:15:43.780Z,40.3493347167969,-124.98999786377,-0.0199999995529652,3.28,ml,84,245,0.4987,0.27,nc,nc75099531,2024-12-08T16:22:18.113Z,"60 km WNW of Petrolia, CA",earthquake,1.54,4.19000006,0.39,4,automatic,nc,nc
2024-12-08T14:58:59.440Z,40.2736663818359,-124.775329589844,2.16000008583069,2.33,md,11,324,0.4639,0.25,nc,nc75099526,2024-12-08T16:07:17.006Z,"42 km W of Petrolia, CA",earthquake,14.32,11.4899998,0.05,6,automatic,nc,nc
2024-12-08T13:51:56.340Z,40.3246650695801,-124.45532989502,8.17000007629395,1.89,md,8,307,0.0935,0.04,nc,nc75099516,2024-12-08T15:27:16.719Z,"14 km W of Petrolia, CA",earthquake,3.23,0.639999986,0.08,5,automatic,nc,nc
2024-12-08T13:24:47.950Z,40.2541656494141,-124.627670288086,17.3099994659424,2.89,ml,14,291,0.3504,0.1,nc,nc75099506,2024-12-08T14:37:23.371Z,"30 km W of Petrolia, CA",earthquake,5.96,2.36999989,1.738,4,automatic,nc,nc
2024-12-08T12:55:18.770Z,40.3380012512207,-124.540664672852,13.6599998474121,2.74,md,20,279,0.1593,0.19,nc,nc75099486,2024-12-08T13:57:15.094Z,"22 km WNW of Petrolia, CA",earthquake,2.77,0.670000017,0.12,16,automatic,nc,nc
2024-12-08T12:49:57.990Z,40.3291664123535,-124.742668151855,22.7000007629395,3.02,ml,37,238,0.3086,0.18,nc,nc75099476,2024-12-08T13:42:16.983Z,"39 km WNW of Petrolia, CA",earthquake,1.14,4.09000015,0.204,5,automatic,nc,nc
2024-12-08T12:46:24.700Z,40.2383346557617,-124.828666687012,2.53999996185303,2.16,md,11,317,0.3753,0.21,nc,nc75099471,2024-12-08T13:27:15.890Z,"47 km W of Petrolia, CA",earthquake,11.46,11.9499998,0.12,8,automatic,nc,nc
2024-12-08T10:25:17.160Z,40.3385009765625,-124.958831787109,3.79999995231628,2.68,md,38,263,0.4739,0.23,nc,nc75099431,2024-12-08T19:03:01.796Z,"57 km WNW of Petrolia, CA",earthquake,3.09,3.74000001,0.08,12,automatic,nc,nc
2024-12-08T09:22:45.620Z,40.2998352050781,-124.473167419434,8.65999984741211,3.12,ml,25,260,0.1005,0.09,nc,nc75099406,2024-12-08T18:43:57.490Z,"16 km W of Petrolia, CA",earthquake,1.19,0.360000014,0.2,6,automatic,nc,nc
2024-12-08T08:52:22.690Z,40.2550010681152,-124.671165466309,0.800000011920929,2.14,md,7,309,0.2536,0.12,nc,nc75099396,2024-12-08T10:17:17.616Z,"34 km W of Petrolia, CA",earthquake,5.3,9.59000015,0.19,6,automatic,nc,nc
2024-12-08T08:42:39.550Z,40.3816680908203,-125.033164978027,-0.0199999995529652,3.17,ml,59,252,0.536,0.32,nc,nc75099386,2024-12-10T06:56:32.040Z,"64 km WNW of Petrolia, CA",earthquake,3.04,6.03999996,0.263,4,automatic,nc,nc
2024-12-08T07:58:24.750Z,40.2213325500488,-124.15650177002,-0.430000007152557,2.19,md,6,113,0.03034,0.12,nc,nc75099366,2024-12-08T09:07:15.222Z,"16 km SSE of Petrolia, CA",earthquake,0.38,0.939999998,0.05,8,automatic,nc,nc
2024-12-08T06:40:37.700Z,40.3271675109863,-124.449836730957,9.01000022888184,1.83,md,6,306,0.09068,0.01,nc,nc75099331,2024-12-08T08:42:15.938Z,"14 km WNW of Petrolia, CA",earthquake,3.93,1.09000003,0.04,5,automatic,nc,nc
2024-12-08T06:15:14.950Z,40.3036651611328,-124.393333435059,6.92999982833862,2.23,md,11,278,0.04168,0.02,nc,nc75099321,2024-12-08T08:07:14.709Z,"9 km W of Petrolia, CA",earthquake,1.38,0.360000014,0.12,11,automatic,nc,nc
2024-12-08T05:10:42.910Z,40.3629989624023,-124.809997558594,9.18000030517578,2.39,md,15,297,0.365,0.12,nc,nc75099306,2024-12-08T07:52:17.616Z,"45 km WNW of Petrolia, CA",earthquake,5.11,4.26000023,0.22,8,automatic,nc,nc
2024-12-08T04:54:45.720Z,40.2566680908203,-124.490501403809,18.3199996948242,2.69,md,11,295,0.1175,0.1,nc,nc75099286,2024-12-08T07:37:16.525Z,"19 km WSW of Petrolia, CA",earthquake,2.5,0.720000029,0.07,12,automatic,nc,nc
2024-12-08T04:47:44.090Z,40.3013343811035,-124.41633605957,8.94999980926514,1.81,md,10,277,0.05786,0.05,nc,nc75099281,2024-12-08T07:22:15.419Z,"11 km W of Petrolia, CA",earthquake,1.99,0.660000026,0.1,6,automatic,nc,nc
2024-12-08T04:34:37.990Z,40.1990013122559,-124.282333374023,18.5499992370605,2.2,md,17,202,0.08264,0.1,nc,nc75099271,2024-12-08T07:07:18.425Z,"14 km S of Petrolia, CA",earthquake,0.96,0.589999974,0.15,12,automatic,nc,nc
2024-12-08T04:17:03.590Z,40.3219985961914,-124.520500183105,10.7399997711182,2.05,md,10,313,0.1401,0.05,nc,nc75099261,2024-12-08T06:27:18.063Z,"20 km W of Petrolia, CA",earthquake,3.09,0.860000014,0.14,7,automatic,nc,nc
2024-12-08T02:01:24.800Z,40.3063316345215,-124.43433380127,12.1800003051758,1.71,md,9,295,0.07241,0.04,nc,nc75099206,2024-12-08T02:47:20.399Z,"13 km W of Petrolia, CA",earthquake,2.48,0.899999976,0.13,7,automatic,nc,nc
2024-12-07T22:54:32.410Z,40.2681655883789,-124.625999450684,-0.239999994635582,2.59,md,15,293,0.2178,0.31,nc,nc75099146,2024-12-08T00:47:19.566Z,"30 km W of Petrolia, CA",earthquake,6.01,10.2399998,0.09,13,automatic,nc,nc
2024-12-07T22:35:23.570Z,40.3741683959961,-124.919502258301,1.1599999666214,2.71,md,17,297,0.4493,0.21,nc,nc75099126,2024-12-08T00:32:14.460Z,"54 km WNW of Petrolia, CA",earthquake,7.48,11.8299999,0.09,11,automatic,nc,nc
2024-12-07T22:27:32.090Z,40.304500579834,-124.505836486816,7.61999988555908,2.09,md,13,268,0.1259,0.08,nc,nc75099116,2024-12-08T00:17:18.358Z,"19 km W of Petrolia, CA",earthquake,1.83,1.16999996,0.09,9,automatic,nc,nc
2024-12-07T22:04:31.110Z,40.2973327636719,-124.50333404541,7.5,3.43,ml,30,260,0.1233,0.15,nc,nc75099111,2024-12-08T00:07:15.307Z,"19 km W of Petrolia, CA",earthquake,1.63,0.720000029,0.231,14,automatic,nc,nc
2024-12-07T21:41:32.360Z,40.3206672668457,-124.703498840332,10.8500003814697,2.42,md,9,315,0.2779,0.05,nc,nc75099096,2024-12-07T23:47:19.176Z,"35 km W of Petrolia, CA",earthquake,5.81,1.70000005,0.04,8,automatic,nc,nc
2024-12-07T20:59:40.660Z,40.3748321533203,-124.929496765137,6.17999982833862,2.78,md,12,303,0.4569,0.34,nc,nc75099051,2024-12-07T23:32:14.079Z,"55 km WNW of Petrolia, CA",earthquake,18.41,16.2399998,0.13,9,automatic,nc,nc
2024-12-07T19:54:28.240Z,40.3001670837402,-124.476669311523,7.51999998092651,3.47,mw,27,262,0.1032,0.12,nc,nc75098996,2024-12-07T22:52:13.817Z,"16 km W of Petrolia, CA",earthquake,1.31,0.479999989,,4,reviewed,nc,nc
2024-12-07T19:48:25.590Z,40.3261680603027,-124.750999450684,20.8899993896484,2.65,md,19,251,0.3146,0.15,nc,nc75098991,2024-12-07T22:37:17.715Z,"40 km WNW of Petrolia, CA",earthquake,1.59,1,0.08,12,automatic,nc,nc
2024-12-07T18:27:47.700Z,40.2859992980957,-125.179664611816,0,2.44,md,15,294,0.6403,0.3,nc,nc75098921,2024-12-07T21:52:17.424Z,"76 km W of Petrolia, CA",earthquake,7.43,15.04,0.07,6,automatic,nc,nc
2024-12-07T18:11:45.220Z,40.2980003356934,-124.40633392334,16.9300003051758,1.79,md,8,282,0.04968,0.02,nc,nc75098901,2024-12-07T18:27:17.004Z,"11 km W of Petrolia, CA",earthquake,3.1,2.63000011,0.15,7,automatic,nc,nc
2024-12-07T17:51:39.330Z,40.3056678771973,-124.891830444336,4.30999994277954,2,md,8,321,0.4204,0.06,nc,nc75098891,2024-12-07T18:12:16.908Z,"51 km W of Petrolia, CA",earthquake,5.74,4.59000015,0.08,5,automatic,nc,nc
2024-12-07T17:11:46.800Z,40.3046684265137,-124.475830078125,10.1800003051758,2.08,md,14,262,0.1032,0.08,nc,nc75098866,2024-12-07T17:17:18.549Z,"16 km W of Petrolia, CA",earthquake,1.63,0.569999993,0.13,11,automatic,nc,nc
2024-12-07T17:04:01.560Z,40.3326683044434,-124.63516998291,11.9099998474121,2.4,md,13,301,0.2281,0.1,nc,nc75098856,2024-12-07T21:22:15.212Z,"30 km WNW of Petrolia, CA",earthquake,3.38,0.99000001,0.06,11,automatic,nc,nc
2024-12-07T16:43:59.580Z,40.337833404541,-124.615837097168,10.1099996566772,2.45,md,10,290,0.2147,0.04,nc,nc75098851,2024-12-07T21:07:14.101Z,"28 km WNW of Petrolia, CA",earthquake,3.15,1.29999995,0.05,9,automatic,nc,nc
2024-12-07T16:35:19.520Z,40.298999786377,-124.54467010498,14.4200000762939,2.23,md,16,274,0.1549,0.09,nc,nc75098846,2024-12-07T20:52:20.995Z,"22 km W of Petrolia, CA",earthquake,2.17,0.689999998,0.21,12,automatic,nc,nc
2024-12-07T16:09:32.100Z,40.2988319396973,-124.627166748047,16.2199993133545,1.96,md,8,309,0.2179,0.07,nc,nc75098826,2024-12-07T16:42:21.294Z,"29 km W of Petrolia, CA",earthquake,7.26,2.5999999,0.01,7,automatic,nc,nc
2024-12-07T16:01:41.430Z,40.3203315734863,-124.461502075195,7.8600001335144,1.94,md,8,270,0.09636,0.05,nc,nc75098816,2024-12-07T16:22:18.153Z,"15 km W of Petrolia, CA",earthquake,1.82,0.870000005,0.09,7,automatic,nc,nc
2024-12-07T14:49:09.060Z,40.3050003051758,-124.471168518066,9.78999996185303,2.61,md,17,260,0.09972,0.09,nc,nc75098796,2024-12-07T20:37:15.891Z,"16 km W of Petrolia, CA",earthquake,1.34,0.569999993,0.15,15,automatic,nc,nc
2024-12-07T14:42:20.350Z,40.3434982299805,-124.777168273926,2.83999991416931,2.99,ml,44,252,0.3368,0.2,nc,nc75098791,2024-12-07T20:22:14.779Z,"42 km WNW of Petrolia, CA",earthquake,2.19,2.95000005,0.154,5,automatic,nc,nc
